Sample in Buffer	Sample in Window	adc_data_ch0
1103	1103	-268	
1104	1104	2561	
1105	1105	1123	
1106	1106	-2151	
1107	1107	-1565	
1108	1108	1896	
1109	1109	2169	
1110	1110	-1115	
1111	1111	-2390	
1112	1112	672	
1113	1113	2635	
1114	1114	241	
1115	1115	-2501	
1116	1116	-728	
1117	1117	2412	
1118	1118	1523	
1119	1119	-1864	
1120	1120	-1910	
1121	1121	1531	
1122	1122	2399	
1123	1123	-679	
1124	1124	-2512	
1125	1125	211	
1126	1126	2633	
1127	1127	688	
1128	1128	-2366	
1129	1129	-1166	
1130	1130	2188	
1131	1131	1874	
1132	1132	-1517	
1133	1133	-2191	
1134	1134	1122	
1135	1135	2558	
1136	1136	-228	
1137	1137	-2545	
1138	1138	-266	
1139	1139	2564	
1140	1140	1124	
1141	1141	-2154	
1142	1142	-1566	
1143	1143	1893	
1144	1144	2171	
1145	1145	-1118	
1146	1146	-2388	
1147	1147	674	
1148	1148	2637	
1149	1149	241	
1150	1150	-2503	
1151	1151	-729	
1152	1152	2412	
1153	1153	1519	
1154	1154	-1864	
1155	1155	-1905	
1156	1156	1534	
1157	1157	2408	
1158	1158	-682	
1159	1159	-2514	
1160	1160	208	
1161	1161	2634	
1162	1162	694	
1163	1163	-2364	
1164	1164	-1167	
1165	1165	2190	
1166	1166	1875	
1167	1167	-1516	
1168	1168	-2190	
1169	1169	1121	
1170	1170	2554	
1171	1171	-225	
1172	1172	-2558	
1173	1173	-263	
1174	1174	2563	
1175	1175	1128	
1176	1176	-2150	
1177	1177	-1567	
1178	1178	1890	
1179	1179	2175	
1180	1180	-1112	
1181	1181	-2386	
1182	1182	679	
1183	1183	2638	
1184	1184	243	
1185	1185	-2507	
1186	1186	-730	
1187	1187	2414	
1188	1188	1517	
1189	1189	-1867	
1190	1190	-1907	
1191	1191	1535	
1192	1192	2402	
1193	1193	-682	
1194	1194	-2514	
1195	1195	202	
1196	1196	2629	
1197	1197	687	
1198	1198	-2371	
1199	1199	-1168	
1200	1200	2187	
1201	1201	1870	
1202	1202	-1514	
1203	1203	-2187	
1204	1204	1117	
1205	1205	2560	
1206	1206	-218	
1207	1207	-2549	
1208	1208	-271	
1209	1209	2564	
1210	1210	1119	
1211	1211	-2150	
1212	1212	-1568	
1213	1213	1890	
1214	1214	2166	
1215	1215	-1115	
1216	1216	-2391	
1217	1217	676	
1218	1218	2634	
1219	1219	245	
1220	1220	-2496	
1221	1221	-730	
1222	1222	2413	
1223	1223	1523	
1224	1224	-1861	
1225	1225	-1907	
1226	1226	1535	
1227	1227	2401	
1228	1228	-680	
1229	1229	-2516	
1230	1230	204	
1231	1231	2633	
1232	1232	693	
1233	1233	-2366	
1234	1234	-1165	
1235	1235	2186	
1236	1236	1870	
1237	1237	-1515	
1238	1238	-2186	
1239	1239	1121	
1240	1240	2559	
1241	1241	-223	
1242	1242	-2551	
1243	1243	-271	
1244	1244	2558	
1245	1245	1119	
1246	1246	-2151	
1247	1247	-1565	
1248	1248	1891	
1249	1249	2171	
1250	1250	-1117	
1251	1251	-2389	
1252	1252	668	
1253	1253	2630	
1254	1254	242	
1255	1255	-2498	
1256	1256	-730	
1257	1257	2413	
1258	1258	1522	
1259	1259	-1859	
1260	1260	-1911	
1261	1261	1536	
1262	1262	2402	
1263	1263	-679	
1264	1264	-2516	
1265	1265	206	
1266	1266	2633	
1267	1267	695	
1268	1268	-2364	
1269	1269	-1169	
1270	1270	2188	
1271	1271	1873	
1272	1272	-1516	
1273	1273	-2183	
1274	1274	1118	
1275	1275	2554	
1276	1276	-224	
1277	1277	-2552	
1278	1278	-269	
1279	1279	2555	
1280	1280	1124	
1281	1281	-2155	
1282	1282	-1568	
1283	1283	1891	
1284	1284	2170	
1285	1285	-1114	
1286	1286	-2390	
1287	1287	678	
1288	1288	2631	
1289	1289	238	
1290	1290	-2507	
1291	1291	-733	
1292	1292	2411	
1293	1293	1523	
1294	1294	-1869	
1295	1295	-1912	
1296	1296	1527	
1297	1297	2400	
1298	1298	-683	
1299	1299	-2512	
1300	1300	202	
1301	1301	2634	
1302	1302	691	
1303	1303	-2365	
1304	1304	-1175	
1305	1305	2185	
1306	1306	1876	
1307	1307	-1516	
1308	1308	-2188	
1309	1309	1118	
1310	1310	2552	
1311	1311	-224	
1312	1312	-2558	
1313	1313	-270	
1314	1314	2561	
1315	1315	1125	
1316	1316	-2149	
1317	1317	-1568	
1318	1318	1887	
1319	1319	2166	
1320	1320	-1117	
1321	1321	-2391	
1322	1322	675	
1323	1323	2633	
1324	1324	244	
1325	1325	-2504	
1326	1326	-731	
1327	1327	2413	
1328	1328	1517	
1329	1329	-1865	
1330	1330	-1910	
1331	1331	1527	
1332	1332	2398	
1333	1333	-679	
1334	1334	-2516	
1335	1335	203	
1336	1336	2631	
1337	1337	691	
1338	1338	-2367	
1339	1339	-1175	
1340	1340	2190	
1341	1341	1874	
1342	1342	-1509	
1343	1343	-2187	
1344	1344	1124	
1345	1345	2558	
1346	1346	-226	
1347	1347	-2547	
1348	1348	-267	
1349	1349	2560	
1350	1350	1126	
1351	1351	-2153	
1352	1352	-1565	
1353	1353	1887	
1354	1354	2170	
1355	1355	-1117	
1356	1356	-2394	
1357	1357	667	
1358	1358	2636	
1359	1359	229	
1360	1360	-2507	
1361	1361	-729	
1362	1362	2409	
1363	1363	1519	
1364	1364	-1871	
